County,Trump,Clinton,Fips
Alcona,"4,201","1,732",26001
Alger,"2,585","1,663",26003
Allegan,"33,812","17,932",26005
Alpena,"9,090","4,877",26007
Antrim,"8,469","4,448",26009
Arenac,"4,704","2,238",26011
Baraga,"2,158","1,156",26013
Barry,"19,197","9,109",26015
Bay,"28,327","21,641",26017
Benzie,"5,539","4,108",26019
Berrien,"38,646","29,496",26021
Branch,"11,025","4,740",26023
Calhoun,"31,489","24,154",26025
Cass,"14,241","7,270",26027
Charlevoix,"8,674","5,137",26029
Cheboygan,"8,680","4,302",26031
Chippewa,"9,120","5,378",26033
Clare,"8,507","4,250",26035
Clinton,"21,635","16,490",26037
Crawford,"4,354","2,110",26039
Delta,"11,112","6,431",26041
Dickinson,"8,580","3,923",26043
Eaton,"27,608","24,534",26045
Emmet,"10,616","6,972",26047
Genesee,"84,174","102,744",26049
Gladwin,"8,124","3,794",26051
Gogebic,"4,019","2,925",26053
Grand Traverse,"27,412","20,964",26055
Gratiot,"9,878","5,665",26057
Hillsdale,"14,094","4,799",26059
Houghton,"8,475","6,018",26061
Huron,"10,629","4,579",26063
Ingham,"44,354","81,266",26065
Ionia,"16,374","8,206",26067
Iosco,"8,344","4,344",26069
Iron,"3,675","2,004",26071
Isabella,"12,338","11,404",26073
Jackson,"39,793","25,795",26075
Kalamazoo,"51,031","67,142",26077
Kalkaska,"6,213","2,279",26079
Kent,"147,959","138,567",26081
Keweenaw,814,527,26083
Lake,"3,159","1,939",26085
Lapeer,"30,037","12,734",26087
Leelanau,"7,239","6,774",26089
Lenawee,"26,428","16,750",26091
Livingston,"65,665","34,378",26093
Luce,"1,756",681,26095
Mackinac,"3,740","2,085",26097
Macomb,"224,589","176,238",26099
Manistee,"6,915","4,979",26101
Marquette,"14,646","16,042",26103
Mason,"8,505","5,281",26105
Mecosta,"10,305","5,827",26107
Menominee,"6,704","3,539",26109
Midland,"23,877","15,655",26111
Missaukee,"5,386","1,565",26113
Monroe,"43,255","26,859",26115
Montcalm,"16,907","7,874",26117
Montmorency,"3,498","1,286",26119
Muskegon,"35,962","36,640",26121
Newaygo,"15,174","6,212",26123
Oakland,"289,127","342,976",26125
Oceana,"7,228","3,973",26127
Ogemaw,"6,827","3,030",26129
Ontonagon,"2,069","1,175",26131
Osceola,"7,336","2,705",26133
Oscoda,"2,843","1,044",26135
Otsego,"8,266","3,556",26137
Ottawa,"90,456","46,276",26139
Presque Isle,"4,486","2,400",26141
Roscommon,"8,141","4,287",26143
Saginaw,"45,469","44,395",26145
Sanilac,"13,446","4,873",26147
Schoolcraft,"2,556","1,369",26149
Shiawassee,"19,232","12,547",26151
St. Clair,"49,067","24,553",26153
St. Joseph,"14,886","7,529",26155
Tuscola,"17,421","7,493",26157
Van Buren,"17,890","13,258",26159
Washtenaw,"50,335","128,025",26161
Wayne,"228,908","517,842",26163
Wexford,"10,000","4,436",26165