County	Clinton	Trump	FIPS
Accomack	6,737	8,582	51001
Albemarle	33,297	19,232	51003
Alexandria	57,147	13,241	51005
Alleghany	2,165	4,873	51007
Amelia	2,150	4,704	51009
Amherst	4,986	9,643	51011
Appomattox	2,023	5,714	51013
Arlington	91,879	20,155	51015
Augusta	8,108	26,152	51017
Bath	603	1,548	51019
Bedford	9,733	30,578	51021
Bland	453	2,572	51023
Botetourt	4,492	13,369	51025
Bristol	1,832	4,884	51027
Brunswick	4,473	3,045	51029
Buchanan	1,721	7,292	51031
Buckingham	3,128	3,969	51033
Buena Vista	693	1,432	51035
Campbell	6,597	19,442	51037
Caroline	6,425	7,143	51039
Carroll	2,557	10,653	51041
Charles City	2,244	1,381	51043
Charlotte	2,153	3,479	51045
Charlottesville	17,865	2,951	51047
Chesapeake	52,554	53,988	51049
Chesterfield	80,993	84,938	51051
Clarke	3,047	4,657	51053
Colonial Heights	2,367	5,681	51055
Covington	914	1,349	51057
Craig	541	2,139	51059
Culpeper	7,744	13,341	51061
Cumberland	2,032	2,693	51063
Danville	11,051	7,306	51065
Dickenson	1,335	4,932	51067
Dinwiddie	5,765	7,447	51069
Emporia	1,531	792	51071
Essex	2,541	2,657	51073
Fairfax	354,485	157,837	51075
Fairfax City	7,363	3,695	51077
Falls Church	5,810	1,323	51079
Fauquier	12,960	22,110	51081
Floyd	2,300	5,289	51083
Fluvanna	5,751	7,018	51085
Franklin	7,254	18,560	51087
Franklin City	2,516	1,421	51089
Frederick	11,920	26,069	51091
Fredericksburg	6,690	3,731	51093
Galax	680	1,603	51095
Giles	1,949	5,930	51097
Gloucester	5,399	13,087	51099
Goochland	4,884	8,374	51101
Grayson	1,407	5,593	51103
Greene	2,923	5,943	51105
Greensville	2,558	1,737	51107
Halifax	6,890	9,698	51109
Hampton	41,030	17,802	51111
Hanover	19,360	39,592	51113
Harrisonburg	10,100	6,232	51115
Henrico	93,615	59,674	51117
Henry	8,199	15,207	51119
Highland	371	958	51121
Hopewell	4,722	3,885	51123
Isle of Wight	7,673	11,971	51125
James City	19,091	21,284	51127
King and Queen	1,451	2,059	51129
King George	4,002	7,338	51131
King William	2,752	5,963	51133
Lancaster	2,862	3,520	51135
Lee	1,627	7,542	51137
Lexington	1,514	766	51139
Loudoun	99,909	69,633	51141
Louisa	6,208	10,507	51143
Lunenburg	2,226	3,206	51145
Lynchburg	14,787	17,979	51147
Madison	2,202	4,418	51149
Manassas	8,395	5,934	51151
Manassas Park	3,218	1,732	51153
Martinsville	3,531	2,149	51155
Mathews	1,563	3,515	51157
Mecklenburg	6,571	8,283	51159
Middlesex	2,107	3,668	51161
Montgomery	20,015	19,455	51163
Nelson	3,677	4,150	51165
New Kent	3,545	8,117	51167
Newport News	40,997	23,650	51169
Norfolk	51,429	19,875	51171
Northampton	3,255	2,686	51173
Northumberland	2,830	5,089	51175
Norton	383	1,021	51177
Nottoway	2,829	3,712	51179
Orange	5,955	10,511	51181
Page	2,514	7,824	51183
Patrick	1,768	6,454	51185
Petersburg	12,005	1,448	51187
Pittsylvania	9,195	21,742	51189
Poquoson	1,599	5,089	51191
Portsmouth	28,462	12,773	51193
Powhatan	4,057	11,875	51195
Prince Edward	4,590	4,099	51197
Prince George	6,419	9,157	51199
Prince William	83,093	54,065	51201
Pulaski	4,170	10,314	51203
Radford	2,923	2,637	51205
Rappahannock	1,741	2,532	51207
Richmond	1,347	2,213	51209
Richmond City	74,640	14,254	51211
Roanoke	16,787	30,857	51213
Roanoke City	23,403	16,045	51215
Rockbridge	3,506	6,671	51217
Rockingham	9,361	25,269	51219
Russell	2,328	9,516	51221
Salem	4,212	7,225	51223
Scott	1,579	8,242	51225
Shenandoah	5,269	14,078	51227
Smyth	2,661	9,747	51229
Southampton	3,595	5,035	51231
Spotsylvania	24,204	34,619	51233
Stafford	27,879	33,840	51235
Staunton	5,329	5,129	51237
Suffolk	23,012	17,206	51239
Surry	2,069	1,785	51241
Sussex	2,874	2,055	51243
Tazewell	2,895	15,160	51245
Virginia Beach	76,744	84,389	51247
Warren	5,165	11,762	51249
Washington	5,548	19,309	51251
Waynesboro	3,762	4,798	51253
Westmoreland	3,723	4,331	51255
Williamsburg	5,199	1,921	51257
Winchester	5,161	4,786	51259
Wise	2,687	11,983	51261
Wythe	2,765	10,044	51263
York	12,989	18,823	51265