County,Trump,Clinton ,FIPS_county,FIPS
Adams,"5,983","3,780",1,55001
Ashland,"3,428","4,136",3,55003
Barron,"13,595","7,881",5,55005
Bayfield,"4,125","4,953",7,55007
Brown,"67,192","53,358",9,55009
Buffalo,"4,049","2,531",11,55011
Burnett,"5,412","2,948",13,55013
Calumet,"15,345","9,634",15,55015
Chippewa,"17,912","11,875",17,55017
Clark,"8,645","4,225",19,55019
Columbia,"14,160","13,525",21,55021
Crawford,"3,844","3,426",23,55023
Dane,"71,270","217,506",25,55025
Dodge,"26,643","13,968",27,55027
Door,"8,584","8,026",29,55029
Douglas,"9,657","11,342",31,55031
Dunn,"11,487","9,025",33,55033
Eau Claire,"23,301","27,271",35,55035
Florence,"1,897",666,37,55037
Fond du Lac,"31,044","17,391",39,55039
Forest,"2,787","1,583",41,55041
Grant,"12,347","10,047",43,55043
Green,"8,693","9,121",45,55045
Green Lake,"6,210","2,700",47,55047
Iowa,"4,809","6,669",49,55049
Iron,"2,090","1,273",51,55051
Jackson,"4,907","3,821",53,55053
Jefferson,"23,409","16,559",55,55055
Juneau,"7,188","4,100",57,55057
Kenosha,"36,025","35,770",59,55059
Kewaunee,"6,616","3,623",61,55061
La Crosse,"26,384","32,402",63,55063
Lafayette,"3,977","3,288",65,55065
Langlade,"6,436","3,260",67,55067
Lincoln,"8,400","5,370",69,55069
Manitowoc,"23,234","14,563",71,55071
Marathon,"39,010","26,476",73,55073
Marinette,"12,995","6,243",75,55075
Marquette,"4,712","2,808",77,55077
Menominee,269,"1,003",78,55078
Milwaukee,"126,091","288,986",79,55079
Monroe,"11,442","7,047",81,55081
Oconto,"13,255","5,886",83,55083
Oneida,"11,677","8,103",85,55085
Outagamie,"51,579","38,117",87,55087
Ozaukee,"30,458","20,167",89,55089
Pepin,"2,228","1,345",91,55091
Pierce,"11,260","8,380",93,55093
Polk,"13,864","7,568",95,55095
Portage,"17,310","18,524",97,55097
Price,"4,562","2,671",99,55099
Racine,"46,620","42,506",101,55101
Richland,"4,021","3,577",103,55103
Rock,"31,483","39,336",105,55105
Rusk,"4,564","2,171",107,55107
Sauk,"15,871","16,050",111,55111
Sawyer,"4,625","2,846",113,55113
Shawano,"12,742","6,056",115,55115
Sheboygan,"32,368","22,636",117,55117
St. Croix,"26,123","17,496",109,55109
Taylor,"6,589","2,398",119,55119
Trempealeau,"7,370","5,645",121,55121
Vernon,"6,994","6,351",123,55123
Vilas,"8,169","4,769",125,55125
Walworth,"28,848","18,706",127,55127
Washburn,"5,404","3,283",129,55129
Washington,"51,729","20,854",131,55131
Waukesha,"145,519","79,199",133,55133
Waupaca,"16,013","8,303",135,55135
Waushara,"7,669","3,802",137,55137
Winnebago,"43,447","37,054",139,55139
Wood,"21,502","14,232",141,55141