County,Trump,Clinton,FIPS,FIPS_county
Alamance,38235,29268,37001,1
Alexander,13826,3750,37003,3
Alleghany,3789,1300,37005,5
Anson,4480,5785,37007,7
Ashe,9353,3476,37009,9
Avery,6226,1670,37011,11
Beaufort,14478,8699,37013,13
Bertie,3476,5837,37015,15
Bladen,8511,7021,37017,17
Brunswick,42440,23117,37019,19
Buncombe,55339,74937,37021,21
Burke,25741,10930,37023,23
Cabarrus,53224,35048,37025,25
Caldwell,26499,8403,37027,27
Camden,3527,1266,37029,29
Carteret,26228,9806,37031,31
Caswell,5758,4549,37033,33
Catawba,48062,21050,37035,35
Chatham,17012,20953,37037,37
Cherokee,10711,2809,37039,39
Chowan,3983,2965,37041,41
Clay,4395,1352,37043,43
Cleveland,28394,14896,37045,45
Columbus,14177,8991,37047,47
Craven,27556,17481,37049,49
Cumberland,50593,70523,37051,51
Currituck,9070,2879,37053,53
Dare,11283,7079,37055,55
Davidson,52870,17328,37057,57
Davie,15502,5228,37059,59
Duplin,12151,8196,37061,61
Durham,27879,118783,37063,63
Edgecombe,8219,16152,37065,65
Forsyth,74793,92488,37067,67
Franklin,16320,12811,37069,69
Gaston,61467,30982,37071,71
Gates,2851,2371,37073,73
Graham,3260,761,37075,75
Granville,13500,12827,37077,77
Greene,4358,3570,37079,79
Guilford,97461,147949,37081,81
Halifax,8954,15642,37083,83
Harnett,27278,16452,37085,85
Haywood,18844,10414,37087,87
Henderson,35535,19664,37089,89
Hertford,3081,6886,37091,91
Hoke,7676,9608,37093,93
Hyde,1275,956,37095,95
Iredell,54164,24441,37097,97
Jackson,9706,7564,37099,99
Johnston,54082,28153,37101,101
Jones,2941,2041,37103,103
Lee,13625,10380,37105,105
Lenoir,13354,11752,37107,107
Lincoln,28653,9836,37109,109
McDowell,14517,4645,37111,111
Macon,12035,4841,37113,113
Madison,6735,3899,37115,115
Martin,5874,5814,37117,117
Mecklenberg,154303,292258,37119,119
Mitchell,6225,1585,37121,121
Montgomery,7070,4108,37123,123
Moore,30273,16148,37125,125
Nash,23142,23024,37127,127
New Hanover,54665,50219,37129,129
Northampton,3556,6113,37131,131
Onslow,36342,17156,37133,133
Orange,18373,59105,37135,135
Pamlico,4225,2427,37137,137
Pasquotank,8082,8455,37139,139
Pender,17317,9086,37141,141
Perquimans,4143,2291,37143,143
Person,11116,7772,37145,145
Pitt,35191,40967,37147,147
Polk,6738,3715,37149,149
Randolph,49156,13074,37151,151
Richmond,10199,8290,37153,153
Robeson,20294,18377,37155,155
Rockingham,26463,14057,37157,157
Rowan,42388,19208,37159,159
Rutherford,21694,7451,37161,161
Sampson,14761,10486,37163,163
Scotland,6212,7279,37165,165
Stanly,21788,7008,37167,167
Stokes,16976,4645,37169,169
Surry,23495,7438,37171,171
Swain,3557,2186,37173,173
Transylvania,10441,6520,37175,175
Tyrrell,968,705,37177,177
Union,66265,34051,37179,179
Vance,7304,12168,37181,181
Wake,193607,298353,37183,183
Warren,3302,6668,37185,185
Washington,2560,3490,37187,187
Watauga,13521,13953,37189,189
Wayne,27360,21520,37191,191
Wilkes,23613,6596,37193,193
Wilson,17410,19527,37195,195
Yadkin,13815,3140,37197,197
Yancey,6367,3181,37199,199